epoch: 1, rmse loss: 1.5932474110958896, mae loss: 1.2374347675994628
epoch: 2, rmse loss: 1.1520293783218372, mae loss: 0.884981225486538
epoch: 3, rmse loss: 1.0315387662779893, mae loss: 0.7982081109844403
epoch: 4, rmse loss: 0.9746198517563653, mae loss: 0.7587383833358746
epoch: 5, rmse loss: 0.9414875059913355, mae loss: 0.7354674435293107
epoch: 6, rmse loss: 0.9200360497117813, mae loss: 0.7199455328525401
epoch: 7, rmse loss: 0.9045560197033495, mae loss: 0.7090786371944447
epoch: 8, rmse loss: 0.8930632378748593, mae loss: 0.700394201541039
epoch: 9, rmse loss: 0.8840744207010102, mae loss: 0.6936317274522164
epoch: 10, rmse loss: 0.8768393987156181, mae loss: 0.6880659481213718
epoch: 11, rmse loss: 0.8708904383061024, mae loss: 0.6834498219464189
epoch: 12, rmse loss: 0.8659335897718616, mae loss: 0.679543769502563
epoch: 13, rmse loss: 0.8615489056256787, mae loss: 0.6761131156696044
epoch: 14, rmse loss: 0.8579740306738081, mae loss: 0.6732603256253012
epoch: 15, rmse loss: 0.8546464522477549, mae loss: 0.6705265103305708
epoch: 16, rmse loss: 0.8518614104948345, mae loss: 0.6683518193362311
epoch: 17, rmse loss: 0.8493938094630884, mae loss: 0.6664325038356079
epoch: 18, rmse loss: 0.8472808589226747, mae loss: 0.6645786716588801
epoch: 19, rmse loss: 0.8453381099083386, mae loss: 0.6630300551901003
epoch: 20, rmse loss: 0.8436056346105469, mae loss: 0.6615649611520358
epoch: 21, rmse loss: 0.8421193155649042, mae loss: 0.6603681505295049
epoch: 22, rmse loss: 0.8407272234306841, mae loss: 0.6592852191142037
epoch: 23, rmse loss: 0.8395162706670845, mae loss: 0.6582560008806126
epoch: 24, rmse loss: 0.8383701666404954, mae loss: 0.6573487356570082
epoch: 25, rmse loss: 0.8374207285401025, mae loss: 0.6566033398834609
epoch: 26, rmse loss: 0.8365453726164574, mae loss: 0.6558555971661666
epoch: 27, rmse loss: 0.8357376985704711, mae loss: 0.6550932117284818
epoch: 28, rmse loss: 0.8350822103884554, mae loss: 0.6546047642057035
epoch: 29, rmse loss: 0.8343517431416742, mae loss: 0.654033671333208
epoch: 30, rmse loss: 0.8338371114589734, mae loss: 0.6536171060538067
epoch: 31, rmse loss: 0.8332733768681686, mae loss: 0.6531277084838866
epoch: 32, rmse loss: 0.8328166176788546, mae loss: 0.6527613013431709
epoch: 33, rmse loss: 0.8324131723616042, mae loss: 0.6523901366589369
epoch: 34, rmse loss: 0.8320207728849163, mae loss: 0.652093143115949
epoch: 35, rmse loss: 0.8316888548692883, mae loss: 0.6518329183238776
epoch: 36, rmse loss: 0.8313844926990134, mae loss: 0.6515625451802468
epoch: 37, rmse loss: 0.8311025023943984, mae loss: 0.6513181305164842
epoch: 38, rmse loss: 0.8308504567302705, mae loss: 0.6511020610699669
epoch: 39, rmse loss: 0.8306231141851278, mae loss: 0.650929444265193
epoch: 40, rmse loss: 0.830428028099499, mae loss: 0.6507456397987729
epoch: 41, rmse loss: 0.8302251077032528, mae loss: 0.650625374202953
epoch: 42, rmse loss: 0.8300722799844478, mae loss: 0.6504766886815939
epoch: 43, rmse loss: 0.829926673489086, mae loss: 0.6503569352671789
epoch: 44, rmse loss: 0.8297823711990234, mae loss: 0.6502024900256387
epoch: 45, rmse loss: 0.8296818465713552, mae loss: 0.650160627623375
epoch: 46, rmse loss: 0.829561840257153, mae loss: 0.6500485859526933
epoch: 47, rmse loss: 0.8294531912372687, mae loss: 0.6499410682587322
epoch: 48, rmse loss: 0.829375091758342, mae loss: 0.6498921486710338
epoch: 49, rmse loss: 0.8293003381209834, mae loss: 0.649859061509937
epoch: 50, rmse loss: 0.8292239391743953, mae loss: 0.6497604089590435
